0,0,0,-0.000438445482869796,0,0,9.01061608146262e-08,0,0,0.0971099969882629,0,0,3.69909490512014e-05,0,0,31.9167846684541,33.2531406435782
0.01,0,0,-0.00183333041798688,0,0,2.05040549524432e-06,0,0,0.190619314513364,0,0,0.000494406902330466,0,0,61.8205959083097,63.2244555585821
0.02,-2.66865310383476e-20,2.66855730411823e-20,-0.00413873149667764,2.78659220950098e-19,2.39142821954664e-19,1.29749338645003e-05,-6.5590530120511e-18,6.56990297943456e-18,0.27842688939655,6.77982833334942e-17,5.81841362586196e-17,0.00200268653278749,1.35432543938655e-15,1.35432543938655e-15,89.2029063623177,90.1872010407981
0.03,-1.37713885262613e-19,1.37708128577494e-19,-0.00729093827687872,1.43794526287609e-18,1.23398269848492e-18,4.53220370964348e-05,-1.78376997361788e-17,1.79120674513585e-17,0.359132714190649,1.8159395760471e-16,1.55839784942298e-16,0.00496175248288112,1.35432543938655e-15,1.35432543938655e-15,113.78578800919,114.404637726253
0.04,-4.95951265877432e-19,4.95935616581036e-19,-0.0112147791367767,5.17672769150204e-18,4.44212894418898e-18,0.000114745025674729,-6.21899702077372e-17,6.25199809548878e-17,0.431878893538019,6.28886201924225e-16,5.39679793466254e-16,0.00960866941918727,3.66622427635102e-15,3.66622427635102e-15,135.819671226623,136.125042052429
0.05,-1.34665820987578e-18,1.34667174804284e-18,-0.0158284282001798,1.40473794604896e-17,1.20522891589403e-17,0.000238751351565522,-1.23356318475149e-16,1.24414964892719e-16,0.496219625776128,1.22309355300955e-15,1.04952102031688e-15,0.0160698533063249,3.66622427635102e-15,3.66622427635102e-15,155.540134357607,155.580751315559
0.06,-2.73940933988605e-18,2.73982964651065e-18,-0.0210470557617607,2.85390616154888e-17,2.44795510264379e-17,0.000435721496588507,-1.80936595029901e-16,1.83412434658637e-16,0.552019600451067,1.73908802059243e-15,1.49207263153007e-15,0.024388220868317,2.54423706231594e-15,2.54423706231594e-15,173.167066644491,172.987738625069
0.07,-4.68099050517553e-18,4.68302193480709e-18,-0.026785553307268,4.86593039661359e-17,4.17215520440266e-17,0.00072417704825882,-2.53127591404898e-16,2.57889748425805e-16,0.599372098403263,2.35762989311409e-15,2.02234839292086e-15,0.0345454494092901,2.54423706231594e-15,2.54423706231594e-15,188.904342229575,188.54560613531
0.08,-7.13540703326921e-18,7.1418591126903e-18,-0.0329605164088093,7.39234445123917e-17,6.334789020688e-17,0.00112225141938603,-3.07530920437676e-16,3.15574162826215e-16,0.638533772149907,2.73527902413549e-15,2.34548715808121e-15,0.0464798820195393,1.33706586431163e-15,1.33706586431163e-15,202.939893643868,202.437898973519
0.09,-1.00108974710046e-17,1.00271072108278e-17,-0.0394916397135467,1.03210048464059e-16,8.83766527914936e-17,0.00164732229651775,-3.71914746220478e-16,3.84264100160705e-16,0.669873350978449,3.16308858186002e-15,2.71116772659263e-15,0.0601006657450414,1.33706586431163e-15,1.33706586431163e-15,215.446088004066,214.832656635444
0.1,-1.32462355298654e-17,1.32810810995563e-17,-0.0463026520656207,1.35661569316972e-16,1.16046664705214e-16,0.00231577079423622,-4.16551910968009e-16,4.34256534064422e-16,0.693831824674327,3.3327282981429e-15,2.85469150614237e-15,0.0752987078449238,4.74962146906924e-16,4.74962146906924e-16,226.580324031473,225.883132416071
0.11,-1.67375956529444e-17,1.68045941712796e-17,-0.0533218967840616,1.69921672114245e-16,1.45165379828121e-16,0.00314283799469238,-4.66982192624701e-16,4.91025239720547e-16,0.71089198048369,3.51839050949667e-15,3.01133863568247e-15,0.0919549986298704,4.74962146906924e-16,4.74962146906924e-16,236.485782146907,235.728624142513
0.12,-2.04176902928797e-17,2.05359909251868e-17,-0.0604826422754216,2.04970130172851e-16,1.74825419589657e-16,0.00414255479500883,-4.96881017065128e-16,5.28189725060533e-16,0.721555478809133,3.45236204021035e-15,2.95135910921024e-15,0.109946793903665,-1.62875957312766e-16,-1.62875957312766e-16,245.292272774611,244.495370789368
0.13,-2.41859700450291e-17,2.43814125986365e-17,-0.0677231913291764,2.39403107245759e-16,2.03790919653279e-16,0.00532772563182793,-5.28870416870588e-16,5.68238404897902e-16,0.726325941476646,3.38207495641591e-15,2.88718921594725e-15,0.129152086465239,-1.62875957312766e-16,-1.62875957312766e-16,253.117139350671,252.297479373674
0.14,-2.79844830993291e-17,2.82902614999948e-17,-0.0749868433673008,2.72239502603583e-16,2.3118983872771e-16,0.00670995065538857,-5.41673773709644e-16,5.89791518216619e-16,0.725696785389128,3.0946976879277e-15,2.63629919708066e-15,0.149452731587853,-6.14479319145644e-16,-6.14479319145644e-16,260.066182300891,259.237854858859
0.15,-3.17296826521067e-17,3.21871757926195e-17,-0.0822217522891849,3.02223171783809e-16,2.55919764772461e-16,0.00829967429652928,-5.53571008579664e-16,6.10964853805756e-16,0.720142761358331,2.79294344001497e-15,2.37287960335208e-15,0.170736530265527,-6.14479319145644e-16,-6.14479319145644e-16,266.234578471267,265.409112734088
0.16,-3.53800103196381e-17,3.60389013985359e-17,-0.0893807130484181,3.28543893020203e-16,2.77266811781991e-16,0.0101062509550218,-5.49254133538001e-16,6.16328530969441e-16,0.710114353005038,2.32602067350204e-15,1.96775816371508e-15,0.19289851873278,-9.08408169345726e-16,-9.08408169345726e-16,271.707777275206,270.894459610039
0.17,-3.88745748955175e-17,3.97933345504079e-17,-0.0964209024075702,3.50213192045353e-16,2.94374189278297e-16,0.0121380208006047,-5.41848350418483e-16,6.18841719549821e-16,0.696034355664144,1.84120143295977e-15,1.54765205340642e-15,0.215841664402536,-9.08408169345726e-16,-9.08408169345726e-16,276.562360318003,275.768531737121
